<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-9.21,D,20210601,000000,156690.0000000,159010.0000000,156690.0000000,158200.0000000,6354
SPFB.RTS-9.21,D,20210602,000000,158270.0000000,161320.0000000,157850.0000000,161320.0000000,8000
SPFB.RTS-9.21,D,20210603,000000,161340.0000000,162790.0000000,159280.0000000,160570.0000000,13306
SPFB.RTS-9.21,D,20210604,000000,160490.0000000,161990.0000000,158790.0000000,161860.0000000,11068
SPFB.RTS-9.21,D,20210607,000000,161590.0000000,162430.0000000,160500.0000000,162180.0000000,9466
SPFB.RTS-9.21,D,20210608,000000,162120.0000000,163170.0000000,161270.0000000,163000.0000000,13404
SPFB.RTS-9.21,D,20210609,000000,163030.0000000,164460.0000000,162630.0000000,163960.0000000,14154
SPFB.RTS-9.21,D,20210610,000000,164030.0000000,165290.0000000,163400.0000000,164880.0000000,29098
SPFB.RTS-9.21,D,20210611,000000,164840.0000000,165850.0000000,163770.0000000,164360.0000000,29692
SPFB.RTS-9.21,D,20210614,000000,164450.0000000,165790.0000000,163950.0000000,165630.0000000,49899
SPFB.RTS-9.21,D,20210615,000000,165730.0000000,166430.0000000,163290.0000000,163580.0000000,165992
SPFB.RTS-9.21,D,20210616,000000,163740.0000000,165680.0000000,161840.0000000,162430.0000000,302344
SPFB.RTS-9.21,D,20210617,000000,162540.0000000,164790.0000000,161590.0000000,163150.0000000,599188
SPFB.RTS-9.21,D,20210618,000000,163080.0000000,163270.0000000,161080.0000000,161150.0000000,555301
SPFB.RTS-9.21,D,20210621,000000,161110.0000000,161900.0000000,159750.0000000,161820.0000000,481411
SPFB.RTS-9.21,D,20210622,000000,161840.0000000,163030.0000000,160780.0000000,162740.0000000,422764
SPFB.RTS-9.21,D,20210623,000000,162810.0000000,164280.0000000,162440.0000000,163400.0000000,475055
SPFB.RTS-9.21,D,20210624,000000,163400.0000000,164460.0000000,162650.0000000,163100.0000000,436106
