<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-9.21,D,20210601,000000,74556.0000000,74812.0000000,74236.0000000,74652.0000000,70847
SPFB.Si-9.21,D,20210602,000000,74650.0000000,74870.0000000,74211.0000000,74262.0000000,67920
SPFB.Si-9.21,D,20210603,000000,74255.0000000,74460.0000000,74136.0000000,74348.0000000,75640
SPFB.Si-9.21,D,20210604,000000,74348.0000000,74413.0000000,73848.0000000,73861.0000000,72689
SPFB.Si-9.21,D,20210607,000000,73860.0000000,74128.0000000,73815.0000000,73900.0000000,60107
SPFB.Si-9.21,D,20210608,000000,73890.0000000,73999.0000000,73347.0000000,73375.0000000,126439
SPFB.Si-9.21,D,20210609,000000,73360.0000000,73459.0000000,73059.0000000,73385.0000000,154814
SPFB.Si-9.21,D,20210610,000000,73370.0000000,73378.0000000,72765.0000000,72834.0000000,264048
SPFB.Si-9.21,D,20210611,000000,72850.0000000,73270.0000000,72563.0000000,73183.0000000,305302
SPFB.Si-9.21,D,20210614,000000,73132.0000000,73399.0000000,73015.0000000,73109.0000000,244009
SPFB.Si-9.21,D,20210615,000000,73105.0000000,73364.0000000,72740.0000000,73212.0000000,683306
SPFB.Si-9.21,D,20210616,000000,73195.0000000,73697.0000000,72689.0000000,73600.0000000,1618449
SPFB.Si-9.21,D,20210617,000000,73594.0000000,73691.0000000,73055.0000000,73297.0000000,3193503
SPFB.Si-9.21,D,20210618,000000,73288.0000000,73820.0000000,73028.0000000,73799.0000000,2812675
SPFB.Si-9.21,D,20210621,000000,73799.0000000,74297.0000000,73759.0000000,74082.0000000,2812265
SPFB.Si-9.21,D,20210622,000000,74080.0000000,74241.0000000,73731.0000000,73804.0000000,2033832
SPFB.Si-9.21,D,20210623,000000,73826.0000000,73849.0000000,73265.0000000,73522.0000000,2890182
SPFB.Si-9.21,D,20210624,000000,73549.0000000,73599.0000000,73029.0000000,73221.0000000,2159239
SPFB.Si-9.21,D,20210625,000000,73239.0000000,73253.0000000,72907.0000000,73087.0000000,1696701
SPFB.Si-9.21,D,20210628,000000,73080.0000000,73188.0000000,72957.0000000,72966.0000000,1727801
SPFB.Si-9.21,D,20210629,000000,72990.0000000,73770.0000000,72990.0000000,73668.0000000,2775449
SPFB.Si-9.21,D,20210630,000000,73668.0000000,74136.0000000,73520.0000000,74031.0000000,2822371
SPFB.Si-9.21,D,20210701,000000,74039.0000000,74419.0000000,73667.0000000,74276.0000000,3206985
SPFB.Si-9.21,D,20210702,000000,74275.0000000,74642.0000000,73970.0000000,74094.0000000,3139847
SPFB.Si-9.21,D,20210705,000000,74081.0000000,74443.0000000,74054.0000000,74287.0000000,1377719
SPFB.Si-9.21,D,20210706,000000,74287.0000000,75639.0000000,73972.0000000,75267.0000000,3537573
SPFB.Si-9.21,D,20210707,000000,75258.0000000,75760.0000000,74764.0000000,75555.0000000,3618880
SPFB.Si-9.21,D,20210708,000000,75555.0000000,76186.0000000,75460.0000000,75592.0000000,3503433
SPFB.Si-9.21,D,20210709,000000,75577.0000000,75629.0000000,74955.0000000,75142.0000000,2838924
SPFB.Si-9.21,D,20210712,000000,75137.0000000,75586.0000000,75093.0000000,75201.0000000,2374622
SPFB.Si-9.21,D,20210713,000000,75190.0000000,75190.0000000,74653.0000000,75076.0000000,3217355
SPFB.Si-9.21,D,20210714,000000,75105.0000000,75140.0000000,74696.0000000,74847.0000000,2167514
SPFB.Si-9.21,D,20210715,000000,74849.0000000,75201.0000000,74810.0000000,75125.0000000,2262975
SPFB.Si-9.21,D,20210716,000000,75125.0000000,75139.0000000,74659.0000000,74779.0000000,2800422
SPFB.Si-9.21,D,20210719,000000,74805.0000000,75495.0000000,74805.0000000,75373.0000000,3352719
SPFB.Si-9.21,D,20210720,000000,75367.0000000,75428.0000000,74988.0000000,75065.0000000,3024848
SPFB.Si-9.21,D,20210721,000000,75068.0000000,75266.0000000,74576.0000000,74680.0000000,2669651
SPFB.Si-9.21,D,20210722,000000,74680.0000000,74699.0000000,74262.0000000,74373.0000000,2450739
SPFB.Si-9.21,D,20210723,000000,74380.0000000,74510.0000000,74154.0000000,74408.0000000,2256723
SPFB.Si-9.21,D,20210726,000000,74385.0000000,74925.0000000,74251.0000000,74280.0000000,2640620
SPFB.Si-9.21,D,20210727,000000,74290.0000000,74575.0000000,74201.0000000,74381.0000000,2221632
SPFB.Si-9.21,D,20210728,000000,74368.0000000,74478.0000000,74000.0000000,74095.0000000,2683178
SPFB.Si-9.21,D,20210729,000000,74110.0000000,74125.0000000,73605.0000000,73752.0000000,2241988
SPFB.Si-9.21,D,20210730,000000,73764.0000000,74021.0000000,73308.0000000,73700.0000000,2980358
SPFB.Si-9.21,D,20210802,000000,73727.0000000,73800.0000000,73236.0000000,73595.0000000,2266934
SPFB.Si-9.21,D,20210803,000000,73595.0000000,73749.0000000,73323.0000000,73475.0000000,2153225
SPFB.Si-9.21,D,20210804,000000,73493.0000000,73836.0000000,73220.0000000,73699.0000000,2621966
SPFB.Si-9.21,D,20210805,000000,73699.0000000,73809.0000000,73509.0000000,73584.0000000,1924279
SPFB.Si-9.21,D,20210806,000000,73581.0000000,73990.0000000,73450.0000000,73950.0000000,2344013
SPFB.Si-9.21,D,20210809,000000,73937.0000000,74190.0000000,73825.0000000,74161.0000000,2074268
SPFB.Si-9.21,D,20210810,000000,74145.0000000,74514.0000000,73943.0000000,74402.0000000,2362731
SPFB.Si-9.21,D,20210811,000000,74411.0000000,74595.0000000,73784.0000000,73844.0000000,2755919
SPFB.Si-9.21,D,20210812,000000,73851.0000000,74112.0000000,73754.0000000,74025.0000000,1968456
SPFB.Si-9.21,D,20210813,000000,74022.0000000,74045.0000000,73552.0000000,73611.0000000,1874363
SPFB.Si-9.21,D,20210816,000000,73626.0000000,73882.0000000,73575.0000000,73630.0000000,2108333
SPFB.Si-9.21,D,20210817,000000,73633.0000000,74000.0000000,73633.0000000,73949.0000000,2383835
SPFB.Si-9.21,D,20210818,000000,73946.0000000,74237.0000000,73701.0000000,74200.0000000,2341430
SPFB.Si-9.21,D,20210819,000000,74200.0000000,74700.0000000,74200.0000000,74500.0000000,2815432
SPFB.Si-9.21,D,20210820,000000,74520.0000000,74901.0000000,74415.0000000,74582.0000000,2417351
SPFB.Si-9.21,D,20210823,000000,74582.0000000,74582.0000000,74229.0000000,74460.0000000,1959865
SPFB.Si-9.21,D,20210824,000000,74438.0000000,74461.0000000,74005.0000000,74023.0000000,2300935
SPFB.Si-9.21,D,20210825,000000,74033.0000000,74372.0000000,73938.0000000,74224.0000000,2007106
SPFB.Si-9.21,D,20210826,000000,74224.0000000,74755.0000000,74193.0000000,74512.0000000,2452145
SPFB.Si-9.21,D,20210827,000000,74512.0000000,74512.0000000,73752.0000000,73778.0000000,2936346
SPFB.Si-9.21,D,20210830,000000,73769.0000000,73900.0000000,73634.0000000,73720.0000000,1768754
SPFB.Si-9.21,D,20210831,000000,73720.0000000,73720.0000000,73403.0000000,73433.0000000,1828615
SPFB.Si-9.21,D,20210901,000000,73438.0000000,73495.0000000,72988.0000000,73150.0000000,1838639
SPFB.Si-9.21,D,20210902,000000,73160.0000000,73238.0000000,72871.0000000,73050.0000000,1521789
